Prot_1,Prot_2
CDK19,CDK8
CDK16,KSR1
CDK16,CDK8
P2RY8,ERAP1
P2RY8,ATM
P2RY8,SERINC1
P2RY8,FANCD2
P2RY8,ACAD10
P2RY8,DNAAF5
P2RY8,C1ORF112
P2RY8,TUBA3C
P2RY8,TMEM11
P2RY8,ATP13A3
P2RY8,FANCA
P2RY8,ND1
P2RY8,GFAP
P2RY8,DSG4
P2RY8,DUSP14
P2RY8,ATP2B3
P2RY8,BRAT1
P2RY8,METTL9
P2RY8,GNAQ
P2RY8,PLEKHG4
P2RY8,LRRC15
P2RY8,ATL2
P2RY8,GNAZ
P2RY8,C19ORF25
P2RY8,FAM126A
PPP3CA,FAM167A
KARS1,VIM
BORA,TSHR
FNDC9,SLC41A2
FNDC9,CLDN1
FNDC9,ERMP1
FNDC9,CNIH3
B3GNT3,LRFN3
B3GNT3,HS6ST1
FGFR3,CCDC141
FGFR3,KCTD17
FGFR3,FOSL2
GPATCH1,RPGRIP1L
HLA-DRB1,VIM
TUFT1,CLOCK
FN1,VIM
FN1,BMP2K
CXCL9,TMEM237
RHD,TMEM237
CAVIN3,CAV1
CAVIN1,CLOCK
CAVIN1,MBOAT1
CAVIN1,CAV1
PCED1A,CAV1
FUBP1,VIM
CEP104,CCDC138
FAM189A2,PDE3B
FAM189A2,SLC12A4
TBC1D1,KSR1
TBC1D1,UBE2E2
KRT75,VIM
ATR,TOPBP1
ADAM33,TMEM237
BRIP1,TOPBP1
TTC27,ACVR1
CARF,CISH
LLGL2,IFI30
PTK2,F13A1
PTK7,TSHR
Q5T189,SUV39H2
PRKAA2,AVPI1
MCL1,CPT2
STIL,TSHR
TANC2,KSR1
UCP2,HAL
DDX27,PRR11
DDX24,PRR11
RAB3IP,SUV39H2
FBXO11,FOSL2
TACO1,CTTN
KLF3,SUV39H2
ERBB2,FGR
ERBB2,CISH
ERBB2,SH2B3
ERBB2,TXK
ERBB3,SH2B3
ERBB3,TXK
KRTAP1-3,MXD3
KRTAP1-3,IL10
KRTAP1-3,PDIA5
SHC1,SUV39H2
TMEM102,SLC12A4
TMEM107,CD40
TMEM107,TMEM237
GHITM,SARM1
FKBP1B,ACVR1
FKBP1A,KCTD17
FKBP1A,ACVR1
IBTK,RFC3
IBTK,RPGRIP1L
CGN,KSR1
DAXX,RFC3
MET,FGR
MET,SH2B3
MET,TXK
LGALS9C,F13A1
LGALS9C,SLC12A4
EIPR1,CLOCK
CCP110,RPGRIP1L
IMMP1L,ANK3
SPICE1,CCDC138
SPICE1,RPGRIP1L
FRMD6,KCTD17
GNAS,CPT2
GNAS,GNG4
MED13L,CDK8
HLTF,APLF
ZHX1-C8ORF76,F13A1
RPL18A,TNK2
DACT3,KSR1
TMCC2,AMOTL2
TMCC2,UBA1
TMCC2,RHOXF2
TMCC2,TLE5
TMCC2,FAM161A
TMCC2,FAM90A1
TMCC2,IQUB
TMCC2,CDR2
TMCC2,PRPF31
