Genes,Naive,Early Extra-GC,Late Extra-GC,GC
RARA,0.3364722366212129,0.19671029424605427,0.4571002244098277,0.09174511363982858
THAP1,0.37351350830156205,0.4367949582490821,0.4317824164255378,0.009788006366162708
ZFP42,0.26203964183844336,0.4317824164255378,0.26203964183844336,0.2126468865088669
NANOG,0.13911280246271784,0.4218320855723696,0.033006296468169966,0.1466034741918754
CEBPG,0.3548213752894095,0.3184537311185346,0.006514681021193642,0.4168938039317872
KMT2A,0.4022236141839935,0.0706175672139534,0.1096989172564245,0.24946085963158313
TFEB,0.39738098970820546,0.18102369807835472,0.21667103680859223,0.006514681021193642
XBP1,0.19276551595503788,0.15794575079580989,0.3925617032722565,0.35020242943311486
STAT4,0.38776553100876343,0.2920204740503791,0.22884157242884753,0.1732717212740367
ZFP3,0.006514681021193642,0.37824164949750805,0.15794575079580989,0.06367309486114218
MBNL2,0.3594617548459117,0.09888800115220867,0.2126468865088669,0.022989518224698833
HBP1,0.15794575079580989,0.21667103680859223,0.016366977464205474,0.3548213752894095
MXD1,0.0706175672139534,0.060218859993054714,0.3548213752894095,0.2006706954621511
ELF5,0.13538840337173538,0.3456047201844855,0.06713930283762856,0.12798096209387352
ARNTL,0.33193708145582157,0.03974032864951411,0.1655793756508811,0.23293155768037255
ZBTB18,0.32742240110129506,0.09174511363982858,0.12429771667757719,0.016366977464205474
NFATC3,0.3229280115134557,0.1655793756508811,0.17714019805195705,0.08819271203546085
ARID5A,0.3184537311185346,0.15415067982725836,0.08819271203546085,0.30075415401913363
FOXP1,0.2536362310420638,0.26203964183844336,0.09174511363982858,0.30514976549217177
ERG,0.24530284948291953,0.11697167658550423,0.30514976549217177,0.279061329407874
PRDM16,0.2833624113072645,0.016366977464205474,0.09531017980432477,0.16175527921247762
RORA,0.1096989172564245,0.23293155768037255,0.056776515802082,0.20464684384179055
LHX8,0.2126468865088669,0.12798096209387352,0.1694181519580468,0.15036995698735228
ETV5,0.1655793756508811,0.026317308317373417,0.2006706954621511,0.15415067982725836
TFAP2B,0.1466034741918754,0.14285112457332488,0.04312442663375468,0.1694181519580468
CXXC1,0.04652001563489281,0.07410797215372183,0.013072081567352775,0.15794575079580989
FOXO4,0.029656209582887966,0.022989518224698833,0.12062798778861475,0.060218859993054714
NFE4,0.08819271203546085,0.04992717395650727,0.022989518224698833,0.04992717395650727
ZFP57,0.08465288533033691,0.06713930283762856,0.03974032864951411,0.07761060270492406
SOX17,0.053345980705292735,0.056776515802082,0.01967276559870478,0.07410797215372183
ZFP82,2.3158303197440673,0.5871289864831482,3.3191324286078534,2.4981518765380217
SOX4,2.976187677481022,1.1320602227356498,0.6865897800137862,2.0794415416798357
POU2F2,1.1952391243571814,0.7097313085754806,2.6259852480479067,2.267040155574635
NR2F6,2.5600272802561093,0.5020919437972361,0.9852248644847644,1.0211031521496663
FOSL2,2.2830404969210756,1.286210902562908,1.1526795099383855,0.14107859825990549
RREB1,1.412962608202052,1.8993153754493173,0.29870754246348863,1.36031887471663
HSF2,1.8883863049171266,1.322578546733783,0.5075415485648007,1.322578546733783
GFI1,0.1816638783749838,1.8883863049171266,0.946343076940557,0.6703819697869329
TBP,1.3164246811594045,0.5324391001865278,1.856297990365626,1.4062285760207078
STAT5B,1.825207403295595,1.6652427536029173,1.6143843363694261,1.6310513888546376
POU2AF1,0.8927219855014594,1.082298713176586,1.6394902575005026,1.7852020686818961
FOXM1,1.1371753234024202,0.608056506589104,1.7467357878541003,1.3995395878699115
MEOX1,0.41621345465959786,1.700644680653833,0.789774016249017,0.08402540881106792
MEF2B,1.6827870632538267,0.4137227933471459,0.37708866016736564,0.40628781485962795
LIN54,1.262680405152714,0.6202147110689137,1.6827870632538267,1.0074975000938875
