Prot_1,Prot_2
CHMP4C,MAPKAPK2
RBL1,HDAC1
RBL1,AOX1
RBL1,DYNLL1
RBL1,MARF1
RBL1,CD2BP2
RBL1,EPHA2
RBL1,HELZ
RBL1,FOXO3
RBL1,CD320
RBL1,YWHAZ
RBL1,LAMB2
RBL1,CCNA2
RBL1,FOXK1
RBL1,EPHB2
RBL1,C3ORF62
RBL1,GOLGA2
RBL1,MAPK6
RBL1,DYRK1A
RBL1,DYRK1B
RBL1,DNPEP
RBL1,NEK6
RBL1,RBL2
RBL1,NR4A1
RBL1,FN1
RBL1,VIRMA
RBL1,RBBP8
RBL1,TSPAN7
RBL1,E2F3
RBL1,EP300
RBL1,NUCB1
RBL1,MRFAP1
RBL1,E2F5
RBL1,E2F4
RBL1,SNRPD3
RBL1,E2F1
RBL1,LIN9
RBL1,PHB
RBL1,TXNDC11
RBL1,ACTR3B
RBL1,CDK2
RBL1,TRIP6
RBL1,CTBP1
RBL1,NTHL1
RBL1,TFDP1
PMPCA,CDRT15
PMPCA,LYRM4
BFSP2,SUFU
HOXB13,IRF4
HOXB13,POU2F1
TFG,GBP2
TFG,GBP7
LIF,KRTAP12-3
LIF,NCALD
LIF,KRT31
LIF,LIFR
LIF,HPGDS
CNKSR3,GBP7
FGFR4,MTA3
FNDC9,ERMP1
FNDC9,CNIH3
FNDC9,NINJ1
B3GNT3,GHITM
B3GNT3,GALNT7
B3GNT3,GALNT12
B3GNT3,TUBB8
B3GNT3,DSTYK
B3GNT3,SELENON
B3GNT3,CD19
B3GNT3,LRFN3
B3GNT3,AMIGO1
B3GNT3,POGLUT2
B3GNT3,MBOAT7
B3GNT3,SLC30A5
B3GNT3,SLC30A7
B3GNT3,SLC30A6
B3GNT3,CSGALNACT2
B3GNT3,FECH
B3GNT3,HS6ST1
TSFM,CPLX2
FGFR3,NBL1
PWWP2A,ARID4B
PWWP2A,MBD2
PWWP2A,MTA3
GINM1,NRP1
BORCS6,NDE1
HLA-DRB5,STAT1
YIF1A,WDFY2
FN1,PAFAH1B2
NCSTN,TTI1
NCSTN,TOMM20
FAM189A2,EPHX1
SAP30,ARID4B
SAP30,MTA3
SAP30,MBD2
NBL1,SPRED1
NBL1,CHAT
NBL1,DPEP2NB
NBL1,MEOX2
