,Genes,LogChange,LogChange_Thresh
8032,ADAMTS18,0.0,0.0
8033,NUDT7,3.196998327301902,2.0
8034,GCSH,1.4270404005675275,1.4270404005675275
8035,CMTM3,-1.00439183208524,-1.00439183208524
8036,CMTM2,0.0,0.0
8037,CDH11,0.0,0.0
8038,NOL3,0.0,0.0
8039,MAP1LC3B,0.3675895225129252,0.3675895225129252
8040,MBTPS1,-1.384244632405103,-1.384244632405103
8041,CDH13,16.151525080883417,2.0
8042,ZCCHC14,-1.445140017445819,-1.445140017445819
8043,TLDC1,0.8291855925359444,0.8291855925359444
8044,ADAD2,0.0,0.0
8045,OSGIN1,0.0,0.0
8046,IRF8,-0.329292052930521,-0.329292052930521
8047,RHOT2,0.06300367539722022,0.06300367539722022
8048,RPL3L,0.0,0.0
8049,ZSCAN32,3.3385251700546066,2.0
8050,RPS2,-0.2533213079667121,-0.2533213079667121
8051,NDUFB10,0.49145780969509534,0.49145780969509534
8052,PDPK1,0.06260077003675783,0.06260077003675783
8053,TIGD7,-21.67299012000215,-2.0
8054,DEF8,-1.1684709903513177,-1.1684709903513177
8055,TCF25,-0.07378222030646148,-0.07378222030646148
8056,GALNS,2.2097455481282995,2.0
8057,GAS8,-2.851639777530955,-2.0
8058,MED9,-0.876846263918071,-0.876846263918071
8059,NCOR1,-0.5283862676478538,-0.5283862676478538
8060,CDRT15P1,0.0,0.0
8061,COPS3,0.7237051718294287,0.7237051718294287
8062,GID4,-5.508783997478484,-2.0
8063,ZNF287,-1.2367441450654801,-1.2367441450654801
8064,MYOCD,0.0,0.0
8065,KSR1,-5.386480494500648,-2.0
8066,CIRH1A,-0.015973831474331734,-0.015973831474331734
8067,RANBP10,-0.23248996644147282,-0.23248996644147282
8068,CTRL,15.755602663159848,2.0
8069,DPEP3,0.0,0.0
8070,GFOD2,0.3052407790514301,0.3052407790514301
8071,NOB1,1.1959693367528579,1.1959693367528579
8072,PRPSAP2,0.42282618285582907,0.42282618285582907
8073,UNC45B,19.806715297958597,2.0
8074,PCTP,-1.0785567772680338,-1.0785567772680338
8075,OR4D1,0.0,0.0
8076,TOM1L1,0.0,0.0
8077,KIF2B,0.0,0.0
8078,C17orf80,1.8546485909811916,1.8546485909811916
8079,TOB1,-0.42845688556495104,-0.42845688556495104
8080,VPS53,0.4736680084031294,0.4736680084031294
8081,SPATA22,18.762773620785907,2.0
8082,SGSM2,-0.8716104182262736,-0.8716104182262736
8083,NPEPPS,0.4470426815054991,0.4470426815054991
8084,SKAP1,-0.8483867410435602,-0.8483867410435602
8085,LRRC46,-17.152508245678966,-2.0
8086,SCRN2,-0.0689361085381003,-0.0689361085381003
8087,SSH2,0.1970598286631229,0.1970598286631229
8088,RHBDL3,0.0,0.0
8089,SPACA3,0.0,0.0
8090,ARSG,1.5420321742614076,1.5420321742614076
8091,ABCA8,-1.7144137736641383,-1.7144137736641383
8092,G6PC3,0.2883451942464587,0.2883451942464587
8093,CLTC,-0.8835212562159753,-0.8835212562159753
8094,C17orf64,0.0,0.0
8095,BCAS3,0.05246049985296468,0.05246049985296468
8096,PTRH2,0.4875336172514412,0.4875336172514412
8097,SS18,0.04507414918880853,0.04507414918880853
8098,TAF4B,0.0,0.0
8099,AFG3L2,1.4168467085267906,1.4168467085267906
8100,PRELID3A,17.566550193254727,2.0
8101,IMPA2,-2.239362479736622,-2.0
8102,GNAL,0.0,0.0
8103,SLC39A6,1.7432262989620066,1.7432262989620066
8104,RPRD1A,0.27093611768741804,0.27093611768741804
8105,C18orf21,0.12850378446134397,0.12850378446134397
8106,GALNT1,1.8979468167402327,1.8979468167402327
8107,ASXL3,0.0,0.0
8108,ADCYAP1,0.0,0.0
8109,MEP1B,0.0,0.0
8110,SLC25A52,0.0,0.0
8111,GAREM,0.0,0.0
8112,ESCO1,1.0477642592351901,1.0477642592351901
8113,OSBPL1A,-2.4747784667394135,-2.0
8114,GATA6,0.0,0.0
8115,GREB1L,18.80671687106784,2.0
8116,C18orf8,0.6555745444137733,0.6555745444137733
8117,PELP1,-1.3364025814599272,-1.3364025814599272
8118,NPC1,0.15916005849468956,0.15916005849468956
8119,SLC14A1,18.74782331310663,2.0
8120,ARRB2,-4.120357263461488,-2.0
8121,SLC13A5,-2.9511315531421145,-2.0
8122,ZMYND15,0.0,0.0
8123,WRAP53,-2.730259145983564,-2.0
8124,MINK1,-0.10314467083472793,-0.10314467083472793
8125,SAT2,-0.6275456278633551,-0.6275456278633551
8126,ASGR1,16.733503215074276,2.0
8127,PIK3R5,-1.652268401107487,-1.652268401107487
8128,TP53,-0.42828133543556157,-0.42828133543556157
8129,CCDC40,0.0,0.0
8130,ARHGDIA,-2.042014248393485,-2.0
8131,TMC6,0.1800617504000428,0.1800617504000428
8132,SLC16A3,-0.1003835292367082,-0.1003835292367082
8133,CARD14,-19.770999703700234,-2.0
8134,TTYH2,0.0,0.0
8135,RAB40B,4.698030766592232,2.0
8136,EIF4A3,0.1142804352055716,0.1142804352055716
8137,CSNK1D,-0.41814727028739235,-0.41814727028739235
8138,ANAPC11,0.7930414759555673,0.7930414759555673
8139,TBCD,-2.1901786283001794,-2.0
8140,FN3KRP,3.7113259919786876,2.0
8141,NARF,-1.5724344244718829,-1.5724344244718829
8142,RPTOR,-2.5901352401260214,-2.0
8143,FOXK2,1.6251568528770313,1.6251568528770313
8144,TRIM65,-0.5095261868121433,-0.5095261868121433
8145,CBX8,16.733503215074276,2.0
8146,SECTM1,20.863203321498396,2.0
8147,RNF157,-20.265789173027812,-2.0
8148,CEP131,20.192922797293473,2.0
8149,ZNF750,0.0,0.0
8150,WDR45B,0.001222509796240309,0.001222509796240309
8151,CBX4,-2.643570466475448,-2.0
8152,RNF165,0.0,0.0
8153,DYM,-0.7709197461494841,-0.7709197461494841
8154,MAPK4,0.0,0.0
8155,ELAC1,1.0545751564263024,1.0545751564263024
8156,MBD1,0.40826823119385675,0.40826823119385675
8157,SMAD4,-0.5291216723923895,-0.5291216723923895
8158,TNFRSF11A,0.0,0.0
8159,ZCCHC2,-0.7835863893684027,-0.7835863893684027
8160,FBXO15,-1.8649010100657997,-1.8649010100657997
8161,CBLN2,0.0,0.0
8162,PMAIP1,0.353351182167219,0.353351182167219
8163,P3H4,-2.3888347030935786,-2.0
8164,NT5C3B,0.17742835057326398,0.17742835057326398
8165,FAM134C,0.07660498763459933,0.07660498763459933
8166,ERBB2,-2.2335961088725496,-2.0
8167,GRB7,0.0,0.0
8168,MIEN1,1.534589666105259,1.534589666105259
8169,PNMT,0.0,0.0
8170,ARL5C,0.0,0.0
8171,STAC2,0.0,0.0
8172,IGFBP4,0.09435653861943584,0.09435653861943584
8173,FKBP10,0.0,0.0
8174,TXNL4A,-0.14891360152314662,-0.14891360152314662
8175,CACNA1A,-19.212346428492072,-2.0
8176,CTB-55O6.8,0.0,0.0
8177,SAMD1,1.3805941915639104,1.3805941915639104
8178,BRD4,-3.297027095717101,-2.0
8179,SLC39A3,-1.2423681983529256,-1.2423681983529256
8180,NFIC,3.0033064177293616,2.0
8181,TPGS1,-2.1040775002005354,-2.0
8182,PLPP2,2.044212807368914,2.0
8183,ZIM3,0.0,0.0
8184,PRDM15,0.5560337283463599,0.5560337283463599
8185,PFKL,0.9133242073628531,0.9133242073628531
8186,FEM1A,-0.5739401560047774,-0.5739401560047774
8187,VAV1,0.038966910946484315,0.038966910946484315
8188,MVB12A,1.2808657165127368,1.2808657165127368
8189,CIB3,0.0,0.0
8190,CTD-3222D19.2,0.0,0.0
8191,SH3GL1,1.9911048680881676,1.9911048680881676
8192,DUS3L,0.1583527101269131,0.1583527101269131
8193,DPP9,-0.48895735033729315,-0.48895735033729315
8194,DMRTC2,0.0,0.0
8195,CCDC97,-0.23518149776959205,-0.23518149776959205
8196,TMEM91,-17.152508245678966,-2.0
8197,ZFP14,-0.1330321060826016,-0.1330321060826016
8198,SIRT3,0.8738684108253334,0.8738684108253334
8199,IFITM3,-1.2273277210947608,-1.2273277210947608
8200,ATHL1,-0.9550987522778552,-0.9550987522778552
8201,HUNK,16.566557625412006,2.0
8202,COL6A1,0.0,0.0
8203,OR1E3,0.0,0.0
8204,IFNAR1,-0.1213367220999732,-0.1213367220999732
8205,SOD1,0.7531493069973928,0.7531493069973928
8206,COL6A2,0.0,0.0
8207,SIK1,2.315067077365565,2.0
8208,DNMT3L,0.0,0.0
8209,TRPM2,-4.083105880460969,-2.0
8210,SCYL1,-0.4201413593569691,-0.4201413593569691
8211,TMEM50B,0.782932455610475,0.782932455610475
8212,APP,0.15277401471036636,0.15277401471036636
8213,DOPEY2,-0.5717171015013492,-0.5717171015013492
8214,URB1,-1.9216183969043976,-1.9216183969043976
8215,AKT1,-3.1229911026301176,-2.0
8216,IL19,20.391677274309625,2.0
8217,EMP3,-3.080434320038425,-2.0
8218,SAE1,-0.20490527585123003,-0.20490527585123003
8219,NTN5,16.733503215074276,2.0
8220,LMTK3,0.0,0.0
8221,GEMIN7,0.6965093314377273,0.6965093314377273
8222,CBLC,0.0,0.0
8223,WTIP,-1.4430163222778614,-1.4430163222778614
8224,ADAMTS10,0.0,0.0
8225,SLC6A3,0.0,0.0
8226,RNPEPL1,-0.2335020896375694,-0.2335020896375694
8227,CAPN10,3.0184253347516647,2.0
8228,MYO1F,-0.24171986468785533,-0.24171986468785533
8229,ERVK3-1,0.10427554485278248,0.10427554485278248
8230,NLRP12,-0.4333602255349008,-0.4333602255349008
8231,CACNG8,0.0,0.0
8232,ZNF787,-17.152508245678966,-2.0
8233,C19orf52,-0.09805262633812167,-0.09805262633812167
8234,FBN3,0.0,0.0
8235,CARM1,0.25696327908698985,0.25696327908698985
8236,EVI5L,2.4675266877581628,2.0
8237,TM4SF5,0.0,0.0
8238,SLC47A1,0.22870708937684228,0.22870708937684228
8239,PSMB6,0.4914847336308814,0.4914847336308814
8240,GPR32,0.0,0.0
8241,SIGLEC10,22.544163760130658,2.0
8242,ACPT,0.0,0.0
8243,KLK3,0.0,0.0
8244,ZNF473,2.0507232087090794,2.0
8245,FAM71E1,-20.77208734798058,-2.0
8246,RPS11,-0.1433801293671288,-0.1433801293671288
8247,PTH2,0.0,0.0
8248,CTD-2545M3.6,-16.844336521223642,-2.0
8249,RPL13A,-0.03284452958111923,-0.03284452958111923
8250,CTU1,0.0,0.0
8251,NOSIP,0.2074361705154456,0.2074361705154456
8252,IGLON5,0.0,0.0
8253,RCN3,0.0,0.0
8254,ZNF614,-1.1684607376849645,-1.1684607376849645
8255,SLC2A5,-4.741751522124334,-2.0
8256,RERE,1.2768591590831173,1.2768591590831173
8257,MMEL1,-4.138377809887695,-2.0
8258,CFAP74,-0.8993950543701857,-0.8993950543701857
8259,PRDM16,0.0,0.0
8260,CELA2A,-16.95159703147089,-2.0
8261,PADI3,0.0,0.0
8262,FHAD1,0.0,0.0
8263,PADI1,0.0,0.0
8264,EPHA2,0.0,0.0
8265,ARHGEF19,-1.0303425178709364,-1.0303425178709364
8266,EFHD2,0.39610574022252915,0.39610574022252915
8267,PEX14,-3.343418702421298,-2.0
8268,PGD,0.8049060971835398,0.8049060971835398
8269,MYOM3,0.0,0.0
8270,SH3BGRL3,-0.19477228960375584,-0.19477228960375584
8271,CNKSR1,20.591990317356284,2.0
8272,RPL11,-0.17104559843992795,-0.17104559843992795
8273,IL22RA1,0.0,0.0
8274,ZNF593,1.2735337339874806,1.2735337339874806
8275,C1orf216,-2.150702086278252,-2.0
8276,KIAA0319L,-1.332736017028278,-1.332736017028278
8277,EVA1B,17.73349659505675,2.0
8278,C1orf94,0.0,0.0
8279,DMRTA2,0.0,0.0
8280,PLK4,20.65400647668743,2.0
8281,MAP3K6,0.0,0.0
8282,FCN3,0.0,0.0
8283,GPN2,0.9424097810417992,0.9424097810417992
8284,SYTL1,-1.3218654259231322,-1.3218654259231322
8285,WDTC1,-2.2500181697707715,-2.0
8286,CELA3A,0.0,0.0
8287,NBPF3,1.8439906632079184,1.8439906632079184
8288,HSPG2,-0.5715985107505728,-0.5715985107505728
8289,ITGB3BP,1.3480842085372577,1.3480842085372577
8290,SERBP1,-0.0345861456284225,-0.0345861456284225
8291,BCL10,0.90057843495071,0.90057843495071
8292,CYR61,0.0,0.0
8293,PRKACB,-0.47208608213682207,-0.47208608213682207
8294,PIGK,-1.1725709964076239,-1.1725709964076239
8295,TINAGL1,0.0,0.0
8296,AZIN2,0.0,0.0
8297,RPS8,-0.06488707765558745,-0.06488707765558745
8298,KIF2C,3.831422560912675,2.0
8299,PTPRF,16.566557625412006,2.0
8300,BEST4,0.0,0.0
8301,MOB3C,-1.891348706423053,-1.891348706423053
8302,CYP4B1,0.0,0.0
8303,TMEM61,0.0,0.0
8304,DMRTB1,0.0,0.0
8305,LMO4,-0.6236877748653886,-0.6236877748653886
8306,SYPL2,0.0,0.0
8307,BARHL2,0.0,0.0
8308,MTF2,0.084134531633826,0.084134531633826
8309,SLC44A3,0.0,0.0
8310,IGSF3,1.036694278807817,1.036694278807817
8311,ZNF697,0.0,0.0
8312,CTTNBP2NL,0.0,0.0
8313,STRIP1,-0.35198426437644825,-0.35198426437644825
8314,KCNA10,0.0,0.0
8315,PSMA5,0.8906997986006339,0.8906997986006339
8316,FNDC7,0.0,0.0
8317,C1orf162,-1.0475071556331408,-1.0475071556331408
8318,CD53,0.17720244691244952,0.17720244691244952
8319,PROK1,0.0,0.0
8320,CELSR2,2.6405960876369208,2.0
8321,ITGA10,0.0,0.0
8322,GPR161,19.93104330307097,2.0
8323,ALDH9A1,1.1075391629411873,1.1075391629411873
8324,ATP1B1,-20.265789173027812,-2.0
8325,TIPRL,-1.3508955782506238,-1.3508955782506238
8326,NME7,0.3809212332763643,0.3809212332763643
8327,POGK,0.22000402114213088,0.22000402114213088
8328,MPC2,-0.12851621089823229,-0.12851621089823229
8329,CREG1,-1.0157498414972967,-1.0157498414972967
8330,DCAF6,-1.2439045103778454,-1.2439045103778454
8331,GPA33,18.31845688909865,2.0
8332,RXRG,0.0,0.0
8333,TBX19,-20.555295582156635,-2.0
8334,UCK2,0.853821866498405,0.853821866498405
8335,TMCO1,0.5582500674874735,0.5582500674874735
8336,XCL1,0.0,0.0
8337,XCL2,0.0,0.0
8338,POU2F1,0.8839243385967807,0.8839243385967807
8339,MAEL,0.0,0.0
8340,ILDR2,4.668887165637178,2.0
8341,DPT,0.0,0.0
8342,MGST3,0.9327035348101476,0.9327035348101476
8343,ADCY10,0.0,0.0
8344,RFWD2,1.4581035187280287,1.4581035187280287
8345,PVRL4,0.0,0.0
8346,UFC1,-0.7238446923090529,-0.7238446923090529
8347,PPOX,-1.6228163912031073,-1.6228163912031073
8348,FCGR2A,-0.3898588870417473,-0.3898588870417473
8349,NUF2,-0.9009280893277214,-0.9009280893277214
8350,RGS5,18.888473828829344,2.0
8351,SDHC,0.04684248292219819,0.04684248292219819
8352,PFDN2,-0.4707513828294245,-0.4707513828294245
8353,NR1I3,-2.4192824330396383,-2.0
8354,USP21,-1.012236825944361,-1.012236825944361
8355,F13B,0.0,0.0
8356,PRCC,0.2654320536038502,0.2654320536038502
8357,FCRL5,-25.438095164836113,-2.0
8358,RRNAD1,3.938727251963433,2.0
8359,MRPL24,-1.054343713268899,-1.054343713268899
8360,PIGM,0.38701836826381386,0.38701836826381386
8361,CASQ1,0.0,0.0
8362,ISG20L2,0.4799164733275353,0.4799164733275353
8363,CRABP2,0.0,0.0
8364,HDGF,1.338722509887013,1.338722509887013
