Genes,Naive,Early_Extra_GC_Tfh,Late_Extra_GC_Tfh,GC Tfh
BMPR1A,0.43754349256452,1.4710497225478476,5.8965253853006026,0.5840894869007676
MINPP1,3.425356366266525,5.972179082231282,8.722847659534875,11.117489060904704
ACTA2,1.0134852525277673,13.013539807165552,5.185720988368673,11.050745152620442
LIPA,22.408342738576188,36.26010756917397,19.42521834310439,20.999307766997607
TLX1,1e-06,1e-06,1e-06,1e-06
C10orf2,1.0134852525277673,4.293511615428265,0.70038719497027,0.2179286874209595
LZTS2,1.4950556645802051,5.488813844306238,4.628288942573598,3.886313933105785
SFXN3,8.16533526556564,10.749713631021349,17.069142664502273,19.84608562736826
KAZALD1,1e-06,1e-06,1e-06,1e-06
FBXW4,4.3412343059142495,6.237313236635788,3.89892437163084,2.3354283880208975
FGF8,1e-06,1e-06,1e-06,1e-06
NPM3,3.586163671369902,1.3914672002496624,2.71194341215144,3.802964296206414
TNKS2,5.166590847863075,17.66916189496745,14.984972685795393,36.97707596828049
PITX3,1e-06,1e-06,1e-06,1e-06
GBF1,10.511399689666904,12.497952737087266,53.264352253405846,38.08622787011815
ARHGAP21,1e-06,0.9629104337943051,1.1206189119524324,0.45854915571060245
CPEB3,0.4965434181503143,0.7722474217846376,62.17294320400115,14.224893420419475
FBXL15,15.51664716086625,17.320868749364926,7.825362593208803,12.965914262294985
CUEDC2,18.345406582446984,18.122975870849526,8.017203394314876,12.318557400142854
SUFU,4.776140788466004,7.403176019309975,5.768136019373951,26.46774293706269
ANKRD26,1.8909478852722115,0.8892776638018718,1e-06,0.31498556053732574
ACBD5,1.8302077324223431,8.987653911845415,3.2730947177811225,5.671710224290303
LHPP,4.591472430494457,1.53880812385308,0.43144935504092147,3.1900671564182552
LARP4B,14.49616600561527,10.54578127148868,28.5370448019214,27.124229108035674
GTPBP4,23.294940213196003,19.974668642610464,21.226117663568477,16.402676796456504
EDRF1,5.019736316043048,5.511510616731238,9.213881518066016,4.8956345562259855
BCCIP,16.029977878880327,22.51251691537888,14.956413879217072,26.099732168239676
MTPAP,7.5520519144914555,4.950134053056113,4.88792752113901,5.1564005497837675
NEURL1,2.5708702821323803,0.514831947856425,2.21782266852444,0.43585637484191997
SH3PXD2A,0.4965434181503143,0.367697410942345,6.580030534567475,1e-06
PITRM1,14.3450818414808,17.748789283772453,15.344149735221249,16.09569732836857
OBFC1,23.880416481770553,23.175786679160375,13.50699373888862,10.683196480028242
MAP3K8,3.1307404530934053,8.932510594791072,13.997577440155018,16.38123215015098
DKK1,1e-06,1e-06,1e-06,1e-06
EBF3,1e-06,1e-06,1e-06,1e-06
GLRX3,35.988032828447295,32.71686395412025,20.70733511552582,29.83482586163938
SORCS1,1e-06,1e-06,1e-06,1e-06
FAM208B,4.8021389395729726,16.22860676427034,6.238556014633314,12.296554144751154
XPNPEP1,14.721648958667075,12.031507465334231,10.481221815066444,10.561660294293931
SMC3,20.85732557789078,28.592596159360475,15.565791695649425,17.947393988710303
SHOC2,18.040485671741376,26.24555754374303,25.154406841766274,15.835747560168874
TFAM,8.901989292570386,6.645082142716675,9.8311373174252,8.743418492418451
CCDC6,9.996548105331444,7.412104078059197,40.69667322785477,48.91998884544502
CUL2,9.441914832614307,11.662527041115856,6.483881405740532,11.869232682111674
CCNY,6.22314266469384,2.86920853571148,3.997852165397845,2.58009228531309
UBE2S,4.140427950394945,2.4883457631061927,3.554655197628781,2.77802614413484
RPL28,942.8450764520007,706.0551502935582,332.1410712931015,337.8688425272463
ZMIZ1,1.372196914185005,8.141815462511335,24.98822854755365,24.545478143015053
DNAJC12,1e-06,0.16036425836573476,1e-06,1e-06
PPIF,15.702706529625004,9.591705948603856,8.935702309170422,8.472697490558412
PBLD,0.14424939735250175,1e-06,0.7234360788136145,0.800269926119157
TSPAN14,122.0030446659985,85.15193636053995,232.8145608217195,209.6897975455395
LGI1,1e-06,1e-06,1e-06,1e-06
TBC1D12,1e-06,1e-06,1e-06,0.0784549674715455
CYP2C18,1e-06,1e-06,1e-06,1e-06
KRT23,1e-06,1e-06,1e-06,1e-06
CRYBA1,1e-06,0.12974612942223826,1e-06,1e-06
NUFIP2,23.85891204111095,29.914708346977225,30.200055321143502,29.437619509625573
GIT1,5.635355417334412,8.756321663488768,8.251202629220362,15.849897694142628
RPL19,2277.307875667825,1653.05911562214,671.0395787584202,643.6647706084495
FBXL20,12.210424982171554,11.442862157049102,33.671236549858854,36.26483435432467
RUNDC3A,1e-06,0.18300377719383826,1e-06,1e-06
UBTF,9.806953533684093,11.910690394661179,12.696621958142474,53.10710873736706
CSF3,1e-06,1e-06,1e-06,1e-06
PSMD3,12.155384448137065,5.92082328436286,7.453205440640143,14.366200961080017
CASC3,12.428205498326664,15.081959160673511,97.05341038501491,38.57916035282997
RAPGEFL1,0.3378290841759225,1e-06,1e-06,1e-06
RGS9,1e-06,1e-06,1.5557910344640424,0.5675129994210822
RNF43,1e-06,1e-06,1e-06,0.758425616747829
WNT3,1e-06,0.12974612942223826,1e-06,1e-06
