Genes,Naive_rank,Early Extra-GC TFH_rank,Late Extra-GC TFH_rank,GC_rank
FOXP1,0.775974025974026,0.7694805194805194,0.9123376623376623,0.737012987012987
ARID5A,0.7272727272727273,0.8571428571428571,0.9155844155844156,0.7402597402597403
SPIB,0.40584415584415584,0.2564935064935065,0.20454545454545456,0.7435064935064936
ZNF311,0.7727272727272727,0.577922077922078,0.6103896103896104,0.7467532467532467
FOXJ2,0.8311688311688312,0.9805194805194806,0.36363636363636365,0.75
ZNF30,0.737012987012987,0.7662337662337663,0.7402597402597403,0.7532467532467533
ERG,0.7824675324675324,0.8896103896103896,0.737012987012987,0.7564935064935064
ZNF12,0.9837662337662337,0.9253246753246753,0.8636363636363636,0.7597402597402597
TGIF2,0.7402597402597403,0.35714285714285715,0.6883116883116883,0.762987012987013
ZNF490,0.9285714285714286,0.6201298701298701,0.45454545454545453,0.7662337662337663
XPA,0.6298701298701299,0.814935064935065,0.827922077922078,0.7694805194805194
KLF2,0.05194805194805195,0.18181818181818182,0.37987012987012986,0.7727272727272727
ZBTB37,0.6233766233766234,0.5324675324675324,0.6396103896103896,0.775974025974026
KMT2A,0.6688311688311688,0.9318181818181818,0.8961038961038961,0.7792207792207793
ZNF655,0.8896103896103896,0.9545454545454546,0.922077922077922,0.7824675324675324
ZNF18,0.9025974025974026,0.7727272727272727,0.9415584415584416,0.7857142857142857
ZNF506,0.762987012987013,0.7597402597402597,0.8214285714285714,0.788961038961039
ARNTL,0.7175324675324676,0.961038961038961,0.8474025974025974,0.7922077922077922
TFE3,0.551948051948052,0.3409090909090909,0.672077922077922,0.7954545454545454
PRDM9,0.75,0.5616883116883117,0.762987012987013,0.7987012987012987
MEF2C,0.8181818181818182,0.6006493506493507,0.275974025974026,0.801948051948052
ZNF430,0.9577922077922078,0.7987012987012987,0.7792207792207793,0.8051948051948052
ZFP42,0.7694805194805194,0.6493506493506493,0.7694805194805194,0.8084415584415584
CTCFL,0.7987012987012987,0.9967532467532467,0.6201298701298701,0.8116883116883117
RORA,0.8961038961038961,0.7922077922077922,0.9448051948051948,0.814935064935065
MXD1,0.9318181818181818,0.9415584415584416,0.7012987012987013,0.8181818181818182
ARNT,0.7954545454545454,0.801948051948052,0.6266233766233766,0.8214285714285714
ZNF182,0.8214285714285714,0.6233766233766234,0.9902597402597403,0.8246753246753247
KLF16,0.41883116883116883,0.6266233766233766,0.801948051948052,0.827922077922078
ZBTB6,0.36363636363636365,0.22402597402597402,0.6785714285714286,0.8311688311688312
ZNF431,0.935064935064935,0.8603896103896104,0.7727272727272727,0.8344155844155844
PBX2,0.5746753246753247,0.5811688311688312,0.7987012987012987,0.8376623376623377
STAT4,0.6785714285714286,0.7467532467532467,0.7954545454545454,0.8409090909090909
TFAP2B,0.8636363636363636,0.8668831168831169,0.9577922077922078,0.8441558441558441
HINFP,0.8441558441558441,0.45454545454545453,0.7142857142857143,0.8474025974025974
PRDM16,0.7532467532467533,0.9837662337662337,0.9090909090909091,0.8506493506493507
CXXC1,0.9545454545454546,0.9285714285714286,0.987012987012987,0.8538961038961039
ETV5,0.8474025974025974,0.974025974025974,0.8181818181818182,0.8571428571428571
LHX8,0.8084415584415584,0.8798701298701299,0.8441558441558441,0.8603896103896104
NANOG,0.8701298701298701,0.6558441558441559,0.9675324675324676,0.8636363636363636
ZNF317,0.8506493506493507,0.32142857142857145,0.7272727272727273,0.8668831168831169
ZNF33A,0.9253246753246753,0.9902597402597403,0.8928571428571429,0.8701298701298701
ZNF714,0.8863636363636364,0.7954545454545454,0.8733766233766234,0.8733766233766234
ETV1,0.8344155844155844,0.9707792207792207,0.39285714285714285,0.8766233766233766
ELF5,0.8733766233766234,0.7077922077922078,0.935064935064935,0.8798701298701299
ZNF780A,0.9090909090909091,0.8766233766233766,0.814935064935065,0.8831168831168831
PAX5,0.4090909090909091,0.19155844155844157,0.2987012987012987,0.8863636363636364
ZNF441,0.8116883116883117,0.987012987012987,0.09740259740259741,0.8896103896103896
E2F1,0.8376623376623377,0.8863636363636364,0.5714285714285714,0.8928571428571429
ZNF713,0.961038961038961,0.9675324675324676,0.3961038961038961,0.8961038961038961
RUNX3,0.7922077922077922,0.24675324675324675,0.6038961038961039,0.8993506493506493
EGR4,0.8766233766233766,0.5584415584415584,0.8798701298701299,0.9025974025974026
TCF4,0.5876623376623377,0.5974025974025974,0.6363636363636364,0.9058441558441559
ZNF320,0.38636363636363635,0.8831168831168831,0.8668831168831169,0.9090909090909091
RARA,0.7142857142857143,0.8214285714285714,0.6331168831168831,0.9123376623376623
NFATC3,0.724025974025974,0.8474025974025974,0.8376623376623377,0.9155844155844156
ZNF675,0.8993506493506493,0.9577922077922078,0.8246753246753247,0.9188311688311688
BPTF,0.6006493506493507,0.6883116883116883,0.4805194805194805,0.922077922077922
ZFP57,0.9188311688311688,0.935064935064935,0.961038961038961,0.9253246753246753
SOX17,0.948051948051948,0.9448051948051948,0.9805194805194806,0.9285714285714286
ZNF677,0.9448051948051948,0.9642857142857143,0.8409090909090909,0.9318181818181818
ZSCAN10,0.8603896103896104,0.6103896103896104,0.9188311688311688,0.935064935064935
ZFP3,0.9935064935064936,0.685064935064935,0.8538961038961039,0.9383116883116883
FOXO4,0.9707792207792207,0.9772727272727273,0.8863636363636364,0.9415584415584416
SIX5,0.9383116883116883,0.9383116883116883,0.42857142857142855,0.9448051948051948
ZNF587,0.9058441558441559,0.948051948051948,0.6428571428571429,0.948051948051948
NFE4,0.9155844155844156,0.9512987012987013,0.9772727272727273,0.9512987012987013
ZNF783,0.5681818181818182,0.44805194805194803,0.17532467532467533,0.9545454545454546
PAX6,0.5616883116883117,0.6590909090909091,0.5811688311688312,0.9577922077922078
ZNF596,0.9415584415584416,0.6688311688311688,0.31493506493506496,0.961038961038961
ZNF483,0.9967532467532467,0.7207792207792207,0.711038961038961,0.9642857142857143
ZIC1,0.9123376623376623,0.4675324675324675,0.9642857142857143,0.9675324675324676
ZNF10,0.801948051948052,0.36363636363636365,0.7824675324675324,0.9707792207792207
ZNF454,0.7662337662337663,0.33116883116883117,0.9285714285714286,0.974025974025974
MBNL2,0.698051948051948,0.9058441558441559,0.8084415584415584,0.9772727272727273
RBAK,0.577922077922078,0.8636363636363636,0.8603896103896104,0.9805194805194806
ZBTB18,0.7207792207792207,0.9123376623376623,0.8831168831168831,0.9837662337662337
ZNF304,0.987012987012987,0.9155844155844156,0.9707792207792207,0.987012987012987
THAP1,0.6883116883116883,0.6461038961038961,0.6493506493506493,0.9902597402597403
TFEB,0.672077922077922,0.8344155844155844,0.8051948051948052,0.9935064935064936
ZNF595,0.7597402597402597,0.9188311688311688,0.9967532467532467,0.9967532467532467
