Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
PBX3,0.0013755224135526228,0.00019378346133998523,0.0016269462765862903,0.0014804609920581137
PBX4,0.0004624790882658918,0.000537642494898129,0.0001469638779891799,0.0002477113929537334
PDX1,0.00015073023304686093,0.0001533755826829366,0.00014605891449042364,0.00017319951536056593
PGR,0.0001710584246873954,0.00018681526857104304,0.00017015429417059126,0.00017903143148775589
PHOX2B,0.0002124206674947504,0.00020187603369385627,0.00016445660938347283,0.000196192543208421
PKNOX1,0.00010987731403295476,0.00037975460439872784,0.00019526284751923616,0.00031074552380533463
PLAG1,0.0014060208396272375,0.0001863315926992962,0.00035354365827940505,0.000810895360321231
POU1F1,0.00023835002739389105,0.0002503451517538079,0.00021741250377062303,0.00024161130534781369
POU2AF1,0.0006119531341163213,0.0006943859337102383,0.001367032027854455,0.0014859931345382997
POU2F1,0.001617383531249131,0.0019274657561724317,0.002624022054698856,0.0018487345891778965
POU2F2,0.0008160822595560013,0.0003588755460820801,0.003011963473192535,0.002406597469566753
POU3F1,0.00027076998952042954,0.00025745136741585426,0.00022848372782772143,0.0009340533735910158
POU3F2,0.0002831898243732496,0.0003066944421121933,0.00026648708360767155,0.00030205597890016283
POU3F3,0.0004053647930885918,0.0003878360974582957,0.0003864016489923009,0.0004777829087135915
POU3F4,0.0002821678960671359,0.0002948367624591957,0.0002642084053167561,0.00027592429563171614
POU4F2,0.0001637599733844787,0.00017039990768728634,0.00015250486821191637,0.00016592206674675983
POU4F3,0.00017357262236069234,0.00017688579687231152,0.00016394129865997576,0.00016531269997270478
POU5F1,0.0006601192563659331,0.0010200785484637167,0.0002384027246986497,0.0006272363981654141
POU5F1B,0.00019114612071186,0.0001975175660134958,0.0001831430402297577,0.0001873007977121628
PPARA,0.00034141211973227523,0.0006820460947153217,0.00047662990970181074,0.0002571145495259783
PRDM1,0.0030122078091375675,0.0022575247999369963,0.006858289973617671,0.0031057213823019094
PRDM16,0.0009715310753389264,0.0004159741563062172,0.00040795887157813056,0.0004293301751932621
PRDM4,0.0003714673920153747,0.0004756486723435544,0.00019535953058951388,0.0005670610515604537
PRDM6,0.0004813870672676681,0.000453393292837266,0.00042333191329378174,0.00046898483280577793
PRDM9,0.0002342772283493404,0.0002389472824984557,0.00024499991661725213,0.00024681629871065145
PRRX1,0.0004184946598922022,0.00041421391414982,0.0003731810255376299,0.0004030809416627208
PRRX2,0.00015102863588493438,0.0001607137046689175,0.00015023850641639007,0.0001619535811299505
PTF1A,0.0001556415854890299,0.0001840109660961367,0.0001653717454559489,0.00018115346847015173
PURA,0.0007779486165931679,0.0006363614204106385,0.0006630240364598218,0.0005730249175368732
RARA,0.0006708216684513685,0.0003709319260667551,0.0010392924012553365,0.00033936174485077984
RARG,0.00011430918574587795,0.00011075228081384487,0.0008668327647146359,0.00011439633690631042
RBAK,0.0006246212104966231,0.0008339296875693671,0.0004004020352087519,0.00018437573281386173
RBPJ,0.001505101238964295,0.0017459539007972863,0.0018857690188509692,0.0017047970358368646
REL,0.0030477199839265604,0.004582799748992431,0.002885368597114597,0.003028275332509921
RELA,0.001573737084129745,0.002174049778262205,0.001974505215441412,0.002763142582943171
REST,0.0026256885135923936,0.002273881047860464,0.0032949173473082218,0.003414240598974817
RFX1,0.0001315199409354856,0.0006382024705151146,0.0005337889240634956,0.00046202164651538914
RFX3,0.0014304051773606189,0.0012544284416226338,0.0004797096434053498,0.0008623186339768965
RFX5,0.0012219673397631254,0.0016469844619834357,0.0027574217524738245,0.0015568552685692066
RFX7,0.0002099394158622304,0.0003389533797325332,0.00025571081191595583,0.000225095634616187
RORA,0.0008965669577492811,0.0028053227875984646,0.001548341216595088,0.0009090395380641172
RUNX1,0.0020358736885067283,0.00145827266700034,0.0028236206367347272,0.0014590450849928222
RUNX2,0.00016158133155819935,0.0001511131742816909,0.0006236894729920208,0.00016432442057583315
RUNX3,0.0003962115990417336,0.00045184085394085646,0.0005798667561666456,0.00026102032360087585
RXRG,0.00016498117880815597,0.00016612148127045302,0.00014612819432396087,0.00017091211435313515
SALL2,0.0004793163276385538,0.00030685650781082534,0.00025399882077569195,0.0009304048482330564
SATB1,0.01459897093357472,0.010316493369057027,0.01059270748885555,0.007586886115361952
SETDB1,0.0018813727853602188,0.0016078387217487327,0.002187761025447501,0.0011001076704534774
SIX1,0.00015407703527267342,0.00014197813133951672,0.0001446807337276831,0.00013874823062865436
SIX5,0.000246139372560172,0.000156010684761517,0.0010103799691385089,0.0001753019995258107
SMAD1,0.00041437599955214096,0.00021154376194577103,0.0010063063205153432,0.0012986336917816825
