	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
EGR3	6.258666303089102e-4	4.1990339511927346e-4	1.6024879868531633e-3	9.97935346250506e-4
EGR4	1.769268152760187e-4	1.2906609246341876e-4	6.388619983337543e-4	1.3504135778058768e-4
EHF	2.0931043306002465e-4	1.6920576050549426e-4	1.8128577146539428e-4	1.6076405371666044e-4
ELF1	1.570676586663946e-2	1.3264017683861578e-2	1.868463840300622e-2	1.3249052731730802e-2
ELF2	2.1260686762677706e-3	1.9129737605829496e-3	2.4651096837196647e-3	2.639841422216982e-3
ELF3	2.3068525112259907e-4	1.932535361429988e-4	2.0781432989041258e-4	1.9611483486104656e-4
ELF4	2.176774958421666e-3	3.783058145698878e-3	3.3874679022043762e-3	1.5933843392075277e-3
ELF5	3.183856722763128e-4	2.743644707621401e-4	7.790312695834576e-4	2.854138405751229e-4
ELK1	2.877746935894681e-3	3.0643647390640565e-3	1.962744286030234e-3	2.7209397605399994e-3
ELK3	2.8638040760423753e-3	3.243001538403662e-3	3.94178963214368e-3	2.6444304141827967e-3
ELK4	5.3456872165709955e-3	4.371343604742079e-3	5.265630304952263e-3	5.9855561310747105e-3
EMX1	6.475316057732788e-5	6.051651835359341e-5	5.2883109915482615e-5	5.951001177353873e-5
EMX2	4.6217722034909124e-5	4.6152464337235194e-5	4.6940227846815364e-5	5.3660983825997406e-5
EN1	1.0694188431534615e-4	9.317274931874836e-5	9.330144631486937e-5	9.667720826807527e-5
EN2	7.446255086164511e-5	6.270655055769989e-5	6.760572632673026e-5	6.876405548453222e-5
EOMES	4.800740280576826e-5	3.7179970385683555e-5	4.214716156152971e-5	4.476468899534543e-5
EPAS1	5.510794804591243e-5	5.151769532374367e-4	6.0542959235865846e-5	5.15091924372528e-5
ERF	5.338958546756552e-4	7.644997522757275e-4	2.7142858133899635e-4	1.6934042090063813e-4
ERG	4.889342564789025e-4	4.3321015379316067e-4	4.6270568299591736e-4	4.050890531905421e-4
ESR1	1.495418099313717e-4	1.407137422987714e-4	1.4979020254031223e-4	1.5339083058119035e-4
ESR2	1.1092616181166285e-4	4.088839516176911e-4	1.0376676737345277e-4	2.7183272878793707e-4
ESRRA	7.962547654655983e-4	5.615636051926894e-4	1.4053225031825422e-3	2.0244527322559858e-4
ESRRB	1.3191888511905012e-4	1.0850278507301258e-4	9.719196385404047e-5	1.1141827428609054e-4
ESRRG	8.741534372470113e-5	1.6915163483268233e-4	7.208242085661191e-5	8.201621294686326e-5
ESX1	8.659316086973523e-5	8.216015775600306e-5	8.104908589334885e-5	8.083083764304315e-5
