	CXCR5hi_PD1hi	CXCR5pos_PD1int	CXCR5pos_PD1neg	Naive
ESR2	1.1546356483065345e-3	0.0	9.617430528958693e-3	3.0712530712528885e-4
ESRRA	0.0	0.0	0.0	3.4222534222534406e-3
ESRRB	1.7105713308245285e-3	7.2426721199727595e-3	7.2769054002298494e-3	6.14250614250611e-3
ESRRG	4.148135477249348e-3	3.32310838445804e-3	1.7830545980680013e-2	1.294313794313795e-2
ESX1	4.062606910708144e-3	1.2738582140422672e-2	1.0979190603855438e-2	1.461038961038963e-2
ETS1	0.0	0.0	0.0	0.0
ETS2	0.0	4.388207225630492e-3	0.0	0.0
ETV1	1.1546356483065345e-3	0.0	3.532065194263634e-3	2.632502632502587e-3
ETV2	0.0	3.4083162917518672e-3	0.0	2.018252018252009e-3
ETV3	2.266507013342456e-2	1.7723244717109732e-2	1.7490105961955882e-2	1.1144261144261147e-2
ETV3L	3.292849811837151e-2	0.1969580777096115	5.4853398016936894e-2	0.22292909792909787
ETV4	9.408142319534685e-4	3.6213360599863798e-3	2.680965147453085e-3	2.4131274131273805e-3
ETV5	0.0	0.0	0.0	0.0
ETV6	0.0	0.0	0.0	0.0
ETV7	4.062606910708144e-3	0.0	7.574790416613464e-3	9.696384696384674e-3
EVX1	4.062606910708144e-3	1.3931492842535809e-2	6.5534703604408495e-3	2.0621270621270615e-2
EVX2	3.8915497776257357e-3	1.4953987730061402e-2	8.979105493850836e-3	1.5487890487890454e-2
FBXL19	1.0	1.0	1.0	1.0
FERD3L	0.1900444748546014	0.45215576005453306	0.3232903527809694	0.3975078975078975
FEV	2.4803284296954775e-3	1.1503067484662566e-2	8.042895442359255e-3	6.274131274131234e-3
FEZF1	1.1546356483065345e-3	4.047375596455405e-3	2.595855142772052e-3	3.8610038610038533e-3
FEZF2	1.753335614095075e-3	7.796523517382359e-3	5.404485297246686e-3	6.274131274131234e-3
FIGLA	1.881628463906937e-3	1.77658486707567e-2	1.0808970594493372e-2	7.678132678132665e-3
FLI1	0.0	0.0	0.0	0.0
FOS	0.0	0.0	0.0	0.0
FOSB	0.0	0.0	0.0	0.0
FOSL1	0.0	0.0	0.0	0.0
FOSL2	1.4539856312008048e-3	0.0	0.0	0.0
FOXA1	0.0	6.816632583503957e-4	2.9788501638372544e-4	2.851877851877904e-3
FOXA2	1.1546356483065345e-3	2.513633265166959e-3	0.0	4.606879606879555e-3
FOXA3	1.1546356483065345e-3	3.8343558282208923e-3	5.702370313630412e-3	6.186381186381151e-3
FOXB1	0.0	0.0	7.489680411932431e-3	5.967005967005945e-3
FOXB2	3.7204926445433273e-3	1.248295841854119e-2	1.072386058981234e-2	1.1714636714636684e-2
FOXC1	0.0	0.0	0.0	0.0
FOXC2	0.0	0.0	0.0	4.3875043875041264e-5
FOXD1	1.967157030448141e-3	1.0693592365371485e-2	9.659985531299209e-3	9.389259389259386e-3
FOXD2	0.0	2.1301976823451252e-4	0.0	2.3692523692523393e-3
FOXD3	0.0	0.0	0.0	0.0
FOXD4	1.0	1.0	0.9978722498829737	1.0
FOXD4L1	1.0	1.0	0.9978722498829737	1.0
FOXD4L3	1.0	1.0	0.9978722498829737	1.0
FOXD4L4	1.0	1.0	0.9978722498829737	1.0
FOXD4L5	1.0	1.0	0.9978722498829737	1.0
FOXD4L6	1.0	1.0	0.9978722498829737	1.0
FOXE1	1.4112213479302582e-3	5.410702113156085e-3	7.234350397889222e-3	6.142506142505777e-4
FOXE3	3.8915497776257357e-3	1.8149284253578757e-2	1.191540065534702e-2	1.5049140049140042e-2
FOXF1	8.980499486828109e-4	2.002385821404218e-3	5.830035320651961e-3	5.0456300456300784e-3
FOXF2	1.7105713308245285e-3	5.751533742331283e-3	1.1617515638963405e-2	1.3820638820638775e-2
FOXG1	2.4803284296954775e-3	1.0736196319018454e-2	5.744925315970928e-3	8.86275886275889e-3
FOXH1	6.371878207321213e-3	1.2355146557600505e-2	1.1957955657687536e-2	1.053001053001057e-2
FOXI1	0.0	0.0	0.0	1.4478764478764727e-3
FOXI2	2.437564146424931e-3	8.435582822085896e-3	9.447210519596627e-3	9.477009477009468e-3
FOXI3	2.4803284296954775e-3	8.691206543967267e-3	9.574875526618176e-3	0.0
FOXJ1	1.7960998973657327e-3	8.733810497614125e-3	7.489680411932431e-3	8.81888381888385e-3
FOXJ2	0.0	0.0	0.0	0.0
FOXJ3	0.0	0.0	0.0	0.0
FOXK1	0.0	0.0	0.0	0.0
FOXK2	0.0	0.0	0.0	5.207967707967709e-2
FOXL1	1.4539856312008048e-3	8.392978868439038e-3	5.915145325332993e-3	6.274131274131234e-3
FOXL2	8.552856654122643e-4	1.235514655760106e-3	0.0	0.0
FOXM1	0.0	0.0	0.0	0.0
FOXN1	0.9999572357167293	1.0	1.0	1.0
FOXN2	1.7960998973657327e-3	4.302999318336775e-3	6.723690369802915e-3	3.6855036855036882e-3
FOXN3	0.0	0.0	0.0	0.0
FOXN4	0.7500855285665412	1.0	1.0	0.924052299052299
FOXO1	0.0	0.0	0.0	0.0
FOXO3	0.0	0.0	0.0	0.0
FOXO4	0.0	0.0	0.0	0.0
FOXO6	1.1973999315771922e-3	4.132583503749121e-3	4.383165241074072e-3	4.43137943137939e-3
FOXP1	0.0	0.0	0.0	0.0
FOXP2	0.0	0.0	4.978935273841412e-3	4.43137943137939e-3
FOXP3	0.0	0.0	0.0	0.0
FOXP4	1.4112213479302582e-3	0.0	1.5873015873015928e-2	1.768164268164263e-2
FOXQ1	1.1973999315771922e-3	4.899454669393344e-3	7.2769054002298494e-3	7.5026325026325e-3
FOXR1	4.27642832706121e-3	1.3164621676891586e-2	4.042725222349941e-3	7.897507897507872e-3
