	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
CEBPZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENPB	1.0	1.0	1.0	1.0	0.5503024193548387	0.5503024193548387	0.5503024193548387	0.5503024193548387	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CENPBD1	1.0	1.0	1.0	1.0	0.973891129032258	0.973891129032258	0.973891129032258	0.973891129032258	0.9989809566269664	0.9989809566269664	0.9989809566269664	0.9989809566269664	1.0	1.0	1.0	1.0
CIC	0.11774572291177454	0.11774572291177454	0.11774572291177454	0.11774572291177454	0.3457661290322581	0.3457661290322581	0.3457661290322581	0.3457661290322581	2.6112986433984853e-3	2.6112986433984853e-3	2.6112986433984853e-3	2.6112986433984853e-3	1.0631834750911562e-3	1.0631834750911562e-3	1.0631834750911562e-3	1.0631834750911562e-3
CLOCK	0.9998658168399865	0.9998658168399865	0.9998658168399865	0.9998658168399865	8.770161290322598e-3	8.770161290322598e-3	8.770161290322598e-3	8.770161290322598e-3	0.9998726195783708	0.9998726195783708	0.9998726195783708	0.9998726195783708	7.346091535034427e-2	7.346091535034427e-2	7.346091535034427e-2	7.346091535034427e-2
CPEB1	0.9985910768198591	0.9985910768198591	0.9985910768198591	0.9985910768198591	0.9915322580645162	0.9915322580645162	0.9915322580645162	0.9915322580645162	0.9971976307241577	0.9971976307241577	0.9971976307241577	0.9971976307241577	0.20737140542729848	0.20737140542729848	0.20737140542729848	0.20737140542729848
CREB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CREB3	0.0	0.0	0.0	0.0	2.0161290322584513e-4	2.0161290322584513e-4	2.0161290322584513e-4	2.0161290322584513e-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CREB3L1	1.2814491781281467e-2	1.2814491781281467e-2	1.2814491781281467e-2	1.2814491781281467e-2	0.13487903225806452	0.13487903225806452	0.13487903225806452	0.13487903225806452	1.0636265206037887e-2	1.0636265206037887e-2	1.0636265206037887e-2	1.0636265206037887e-2	0.0	0.0	0.0	0.0
CREB3L2	4.495135860449473e-3	4.495135860449473e-3	4.495135860449473e-3	4.495135860449473e-3	3.508064516129028e-2	3.508064516129028e-2	3.508064516129028e-2	3.508064516129028e-2	4.3309343353926555e-2	4.3309343353926555e-2	4.3309343353926555e-2	4.3309343353926555e-2	2.784528149048171e-3	2.784528149048171e-3	2.784528149048171e-3	2.784528149048171e-3
CREB3L4	8.654813820865526e-3	8.654813820865526e-3	8.654813820865526e-3	8.654813820865526e-3	0.23649193548387093	0.23649193548387093	0.23649193548387093	0.23649193548387093	1.6304693968537065e-2	1.6304693968537065e-2	1.6304693968537065e-2	1.6304693968537065e-2	0.0	0.0	0.0	0.0
CREB5	0.39221737671922174	0.39221737671922174	0.39221737671922174	0.39221737671922174	0.9152217741935484	0.9152217741935484	0.9152217741935484	0.9152217741935484	0.9946500222915737	0.9946500222915737	0.9946500222915737	0.9946500222915737	0.14266909680032402	0.14266909680032402	0.14266909680032402	0.14266909680032402
CREBL2	4.132841328413284e-2	4.132841328413284e-2	4.132841328413284e-2	4.132841328413284e-2	0.2261088709677419	0.2261088709677419	0.2261088709677419	0.2261088709677419	1.4585058276542884e-2	1.4585058276542884e-2	1.4585058276542884e-2	1.4585058276542884e-2	2.8351559335763055e-3	2.8351559335763055e-3	2.8351559335763055e-3	2.8351559335763055e-3
CREBZF	0.9121100301912111	0.9121100301912111	0.9121100301912111	0.9121100301912111	0.8766129032258064	0.8766129032258064	0.8766129032258064	0.8766129032258064	2.5348703904209957e-2	2.5348703904209957e-2	2.5348703904209957e-2	2.5348703904209957e-2	0.5041514783313082	0.5041514783313082	0.5041514783313082	0.5041514783313082
CREM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRX	1.0	1.0	1.0	1.0	0.5893145161290323	0.5893145161290323	0.5893145161290323	0.5893145161290323	7.279791096108523e-2	7.279791096108523e-2	7.279791096108523e-2	7.279791096108523e-2	0.5832827055488052	0.5832827055488052	0.5832827055488052	0.5832827055488052
CTCF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTCFL	0.0	0.0	0.0	0.0	9.979838709677447e-3	9.979838709677447e-3	9.979838709677447e-3	9.979838709677447e-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CUX1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CUX2	8.654813820865526e-3	8.654813820865526e-3	8.654813820865526e-3	8.654813820865526e-3	0.9911290322580645	0.9911290322580645	0.9911290322580645	0.9911290322580645	0.9998089293675562	0.9998089293675562	0.9998089293675562	0.9998089293675562	1.0	1.0	1.0	1.0
CXXC1	5.635692720563523e-3	5.635692720563523e-3	5.635692720563523e-3	5.635692720563523e-3	6.653225806451668e-3	6.653225806451668e-3	6.653225806451668e-3	6.653225806451668e-3	7.642825297751732e-3	7.642825297751732e-3	7.642825297751732e-3	7.642825297751732e-3	0.0	0.0	0.0	0.0
CXXC4	1.0	1.0	1.0	1.0	0.9964717741935484	0.9964717741935484	0.9964717741935484	0.9964717741935484	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CXXC5	1.0	1.0	1.0	1.0	0.9839717741935484	0.9839717741935484	0.9839717741935484	0.9839717741935484	0.9997452391567416	0.9997452391567416	0.9997452391567416	0.9997452391567416	4.10085054678011e-3	4.10085054678011e-3	4.10085054678011e-3	4.10085054678011e-3
DBP	2.012747400201298e-3	2.012747400201298e-3	2.012747400201298e-3	2.012747400201298e-3	0.8980846774193548	0.8980846774193548	0.8980846774193548	0.8980846774193548	2.5476084325839476e-3	2.5476084325839476e-3	2.5476084325839476e-3	2.5476084325839476e-3	1.265694613203694e-3	1.265694613203694e-3	1.265694613203694e-3	1.265694613203694e-3
DBX1	1.0	1.0	1.0	1.0	0.9919354838709677	0.9919354838709677	0.9919354838709677	0.9919354838709677	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DBX2	1.0	1.0	1.0	1.0	0.9946572580645161	0.9946572580645161	0.9946572580645161	0.9946572580645161	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
DDIT3	0.23186850050318686	0.23186850050318686	0.23186850050318686	0.23186850050318686	0.32600806451612907	0.32600806451612907	0.32600806451612907	0.32600806451612907	0.9190497420546462	0.9190497420546462	0.9190497420546462	0.9190497420546462	0.9970129607128392	0.9970129607128392	0.9970129607128392	0.9970129607128392
