	Naive	Naive	Naive	Naive	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Early_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	Late_Pre_TFH	GC	GC	GC	GC
BHLHA15	9.343733070865318e-5	9.343733070865318e-5	9.343733070865318e-5	9.343733070865318e-5	1.4118704202856105e-4	1.4118704202856105e-4	1.4118704202856105e-4	1.4118704202856105e-4	1.1206672825690356e-4	1.1206672825690356e-4	1.1206672825690356e-4	1.1206672825690356e-4	1.2048588392855661e-4	1.2048588392855661e-4	1.2048588392855661e-4	1.2048588392855661e-4
BHLHE22	1.9306614530545433e-5	1.9306614530545433e-5	1.9306614530545433e-5	1.9306614530545433e-5	3.8884758950800334e-5	3.8884758950800334e-5	3.8884758950800334e-5	3.8884758950800334e-5	2.0082212155032225e-5	2.0082212155032225e-5	2.0082212155032225e-5	2.0082212155032225e-5	1.2444020921255544e-5	1.2444020921255544e-5	1.2444020921255544e-5	1.2444020921255544e-5
BHLHE23	1.9255013190854538e-5	1.9255013190854538e-5	1.9255013190854538e-5	1.9255013190854538e-5	3.89516725150636e-5	3.89516725150636e-5	3.89516725150636e-5	3.89516725150636e-5	1.9112651219755556e-5	1.9112651219755556e-5	1.9112651219755556e-5	1.9112651219755556e-5	1.3581624231679711e-5	1.3581624231679711e-5	1.3581624231679711e-5	1.3581624231679711e-5
BHLHE40	1.0462250452932269e-3	1.0462250452932269e-3	1.0462250452932269e-3	1.0462250452932269e-3	9.417231068738262e-4	9.417231068738262e-4	9.417231068738262e-4	9.417231068738262e-4	1.961619647219621e-3	1.961619647219621e-3	1.961619647219621e-3	1.961619647219621e-3	1.0283965594391142e-3	1.0283965594391142e-3	1.0283965594391142e-3	1.0283965594391142e-3
BHLHE41	7.636624821865913e-5	7.636624821865913e-5	7.636624821865913e-5	7.636624821865913e-5	1.2034166044522048e-4	1.2034166044522048e-4	1.2034166044522048e-4	1.2034166044522048e-4	3.977125673250886e-5	3.977125673250886e-5	3.977125673250886e-5	3.977125673250886e-5	4.580093536263974e-5	4.580093536263974e-5	4.580093536263974e-5	4.580093536263974e-5
BNC1	4.32925105771845e-5	4.32925105771845e-5	4.32925105771845e-5	4.32925105771845e-5	5.4314230499832094e-5	5.4314230499832094e-5	5.4314230499832094e-5	5.4314230499832094e-5	3.785179078578599e-5	3.785179078578599e-5	3.785179078578599e-5	3.785179078578599e-5	4.1855534744810354e-5	4.1855534744810354e-5	4.1855534744810354e-5	4.1855534744810354e-5
BNC2	4.32925105771845e-5	4.32925105771845e-5	4.32925105771845e-5	4.32925105771845e-5	5.4314230499832094e-5	5.4314230499832094e-5	5.4314230499832094e-5	5.4314230499832094e-5	3.785179078578599e-5	3.785179078578599e-5	3.785179078578599e-5	3.785179078578599e-5	4.1855534744810354e-5	4.1855534744810354e-5	4.1855534744810354e-5	4.1855534744810354e-5
BORCS8-MEF2B	2.833863630785236e-5	2.833863630785236e-5	2.833863630785236e-5	2.833863630785236e-5	9.731969774760803e-5	9.731969774760803e-5	9.731969774760803e-5	9.731969774760803e-5	5.056549625762253e-4	5.056549625762253e-4	5.056549625762253e-4	5.056549625762253e-4	2.2612354413804978e-4	2.2612354413804978e-4	2.2612354413804978e-4	2.2612354413804978e-4
BPTF	7.163454426630256e-4	7.163454426630256e-4	7.163454426630256e-4	7.163454426630256e-4	5.54154179044982e-4	5.54154179044982e-4	5.54154179044982e-4	5.54154179044982e-4	1.0053557740833106e-3	1.0053557740833106e-3	1.0053557740833106e-3	1.0053557740833106e-3	3.0031544449124405e-4	3.0031544449124405e-4	3.0031544449124405e-4	3.0031544449124405e-4
BSX	2.488639583804606e-5	2.488639583804606e-5	2.488639583804606e-5	2.488639583804606e-5	5.543915323905142e-5	5.543915323905142e-5	5.543915323905142e-5	5.543915323905142e-5	2.8945328319577124e-5	2.8945328319577124e-5	2.8945328319577124e-5	2.8945328319577124e-5	4.0308774078355554e-5	4.0308774078355554e-5	4.0308774078355554e-5	4.0308774078355554e-5
CARF	9.1868111910976e-5	9.1868111910976e-5	9.1868111910976e-5	9.1868111910976e-5	8.557269638052752e-5	8.557269638052752e-5	8.557269638052752e-5	8.557269638052752e-5	2.974271875653295e-5	2.974271875653295e-5	2.974271875653295e-5	2.974271875653295e-5	6.862876841292892e-5	6.862876841292892e-5	6.862876841292892e-5	6.862876841292892e-5
CCDC169-SOHLH2	3.1341585817909004e-5	3.1341585817909004e-5	3.1341585817909004e-5	3.1341585817909004e-5	4.5470679365675054e-5	4.5470679365675054e-5	4.5470679365675054e-5	4.5470679365675054e-5	2.5443632397864165e-5	2.5443632397864165e-5	2.5443632397864165e-5	2.5443632397864165e-5	3.053804888446096e-5	3.053804888446096e-5	3.053804888446096e-5	3.053804888446096e-5
CDC5L	7.595005966671352e-5	7.595005966671352e-5	7.595005966671352e-5	7.595005966671352e-5	1.8598679501686096e-4	1.8598679501686096e-4	1.8598679501686096e-4	1.8598679501686096e-4	7.00135632882016e-5	7.00135632882016e-5	7.00135632882016e-5	7.00135632882016e-5	5.934311443585708e-5	5.934311443585708e-5	5.934311443585708e-5	5.934311443585708e-5
CDX1	1.1719363743622628e-4	1.1719363743622628e-4	1.1719363743622628e-4	1.1719363743622628e-4	1.1670480756458115e-4	1.1670480756458115e-4	1.1670480756458115e-4	1.1670480756458115e-4	9.226347899102833e-5	9.226347899102833e-5	9.226347899102833e-5	9.226347899102833e-5	1.6836296274165807e-4	1.6836296274165807e-4	1.6836296274165807e-4	1.6836296274165807e-4
CDX2	7.064326858856172e-5	7.064326858856172e-5	7.064326858856172e-5	7.064326858856172e-5	7.358414096838506e-5	7.358414096838506e-5	7.358414096838506e-5	7.358414096838506e-5	5.596310178595383e-5	5.596310178595383e-5	5.596310178595383e-5	5.596310178595383e-5	9.049381021196158e-5	9.049381021196158e-5	9.049381021196158e-5	9.049381021196158e-5
CDX4	3.23378250177064e-5	3.23378250177064e-5	3.23378250177064e-5	3.23378250177064e-5	4.938368179346904e-5	4.938368179346904e-5	4.938368179346904e-5	4.938368179346904e-5	2.2857237519892428e-5	2.2857237519892428e-5	2.2857237519892428e-5	2.2857237519892428e-5	4.076635089099974e-5	4.076635089099974e-5	4.076635089099974e-5	4.076635089099974e-5
CEBPA	6.18269629066169e-5	6.18269629066169e-5	6.18269629066169e-5	6.18269629066169e-5	3.8418283601139125e-4	3.8418283601139125e-4	3.8418283601139125e-4	3.8418283601139125e-4	8.311831668151489e-5	8.311831668151489e-5	8.311831668151489e-5	8.311831668151489e-5	4.7319120048584795e-4	4.7319120048584795e-4	4.7319120048584795e-4	4.7319120048584795e-4
CEBPB	9.141533492290685e-5	9.141533492290685e-5	9.141533492290685e-5	9.141533492290685e-5	1.2198264594141963e-4	1.2198264594141963e-4	1.2198264594141963e-4	1.2198264594141963e-4	4.3742542162192164e-5	4.3742542162192164e-5	4.3742542162192164e-5	4.3742542162192164e-5	7.30503637333162e-5	7.30503637333162e-5	7.30503637333162e-5	7.30503637333162e-5
CEBPD	5.3563957648688785e-5	5.3563957648688785e-5	5.3563957648688785e-5	5.3563957648688785e-5	7.126254324026734e-5	7.126254324026734e-5	7.126254324026734e-5	7.126254324026734e-5	3.9469685553981026e-5	3.9469685553981026e-5	3.9469685553981026e-5	3.9469685553981026e-5	7.342728630890154e-5	7.342728630890154e-5	7.342728630890154e-5	7.342728630890154e-5
CEBPE	3.916303007015625e-4	3.916303007015625e-4	3.916303007015625e-4	3.916303007015625e-4	5.6136765079810025e-5	5.6136765079810025e-5	5.6136765079810025e-5	5.6136765079810025e-5	3.3308148791340184e-5	3.3308148791340184e-5	3.3308148791340184e-5	3.3308148791340184e-5	4.614855317796337e-5	4.614855317796337e-5	4.614855317796337e-5	4.614855317796337e-5
CEBPG	5.288437552160485e-4	5.288437552160485e-4	5.288437552160485e-4	5.288437552160485e-4	5.127209234665552e-4	5.127209234665552e-4	5.127209234665552e-4	5.127209234665552e-4	1.7279845221652984e-4	1.7279845221652984e-4	1.7279845221652984e-4	1.7279845221652984e-4	7.35881419875411e-4	7.35881419875411e-4	7.35881419875411e-4	7.35881419875411e-4
CEBPZ	9.723651305666242e-4	9.723651305666242e-4	9.723651305666242e-4	9.723651305666242e-4	7.434414686703136e-4	7.434414686703136e-4	7.434414686703136e-4	7.434414686703136e-4	4.864509708333936e-4	4.864509708333936e-4	4.864509708333936e-4	4.864509708333936e-4	7.724189451594004e-4	7.724189451594004e-4	7.724189451594004e-4	7.724189451594004e-4
CENPB	1.6900975656660935e-5	1.6900975656660935e-5	1.6900975656660935e-5	1.6900975656660935e-5	8.968179182971938e-5	8.968179182971938e-5	8.968179182971938e-5	8.968179182971938e-5	1.3843830546816376e-5	1.3843830546816376e-5	1.3843830546816376e-5	1.3843830546816376e-5	1.9921895167193932e-5	1.9921895167193932e-5	1.9921895167193932e-5	1.9921895167193932e-5
CENPBD1	1.7059798784439147e-5	1.7059798784439147e-5	1.7059798784439147e-5	1.7059798784439147e-5	5.024841916527422e-5	5.024841916527422e-5	5.024841916527422e-5	5.024841916527422e-5	2.5259464436487115e-5	2.5259464436487115e-5	2.5259464436487115e-5	2.5259464436487115e-5	1.127780286391814e-5	1.127780286391814e-5	1.127780286391814e-5	1.127780286391814e-5
CIC	8.255675997013697e-5	8.255675997013697e-5	8.255675997013697e-5	8.255675997013697e-5	1.0636268382067781e-4	1.0636268382067781e-4	1.0636268382067781e-4	1.0636268382067781e-4	2.9100041177574666e-4	2.9100041177574666e-4	2.9100041177574666e-4	2.9100041177574666e-4	2.5513706699241775e-4	2.5513706699241775e-4	2.5513706699241775e-4	2.5513706699241775e-4
CLOCK	3.17760901645044e-5	3.17760901645044e-5	3.17760901645044e-5	3.17760901645044e-5	2.6421874111871553e-4	2.6421874111871553e-4	2.6421874111871553e-4	2.6421874111871553e-4	1.917328840960177e-5	1.917328840960177e-5	1.917328840960177e-5	1.917328840960177e-5	6.562278843749662e-5	6.562278843749662e-5	6.562278843749662e-5	6.562278843749662e-5
CPEB1	3.5561688227686125e-5	3.5561688227686125e-5	3.5561688227686125e-5	3.5561688227686125e-5	4.314823741927414e-5	4.314823741927414e-5	4.314823741927414e-5	4.314823741927414e-5	2.8354979669670467e-5	2.8354979669670467e-5	2.8354979669670467e-5	2.8354979669670467e-5	5.6783899037575995e-5	5.6783899037575995e-5	5.6783899037575995e-5	5.6783899037575995e-5
