Genes,Naive,Early Extra-GC TFH,Late Extra-GC TFH,GC
LHX8,0.0003735125129427453,0.0003490571674873801,0.0003440923526872882,0.0003706335793653557
MAF,0.0005199153204263611,0.0008834664757832166,0.0023382815574832837,0.003889272984198881
MAFF,0.0007083380327060813,0.000683901724185908,0.001136556776887115,0.0009241418629886704
MAX,0.0025180939930903386,0.0011667791104650314,0.0016527683553714963,0.0013841917495808504
MAZ,0.002360589979550664,0.0024001188586601106,0.0016903405598465103,0.004216489565056202
MBD2,0.0006145199262313763,0.0009276777866329188,0.0005615084706362761,0.0007775286874851221
MBNL2,0.0005325470861740687,0.00032152300158483214,0.0003776200148886794,0.0001829323678451498
MEF2A,0.0005544217230023062,0.0005115645625922829,0.0003741045419005732,0.0013053886110677042
MEF2C,0.000350283792596868,0.0006481437449607936,0.0021258403642162933,0.0004651859306922104
MEF2D,0.0011224757842906372,0.0011035661775230317,0.0011924540841720037,0.001959295077716461
MLX,0.0016583738393538983,0.0007266576245770194,0.0012544455361581375,0.0012415785009166837
MTF1,0.0008432960783278651,0.0008535287982548167,0.0006375915593450653,0.0009829409683722
MTF2,0.000646286252880673,0.00071069260233014,0.0005893497638811686,0.0016094780979641616
MXD1,0.00022881293433604208,0.00028477677944025684,0.000548503574051961,0.0004284260793370039
MYC,0.0013512318184664672,0.0004510387051124034,0.000969133178969928,0.0012054070719518723
MZF1,0.0033040716296691697,0.003796777040567402,0.0021835411260853537,0.0028702724298559517
NANOG,0.00030850538846268654,0.0005706507324163984,0.00021097693972857196,0.00036941999778098073
NFAT5,0.0008524461966782118,0.0005537830812333267,0.0007984375866075444,0.0011016889432505755
NFATC1,0.001632787280898041,0.0010266575169324212,0.0030914393378226714,0.003201127759685196
NFATC2,0.0006770965955020174,0.0009041485367514548,0.0017789668132498495,0.0014499743143269238
NFATC3,0.0004986537871240048,0.0003803155885277692,0.0003590943459236993,0.0003072769718764488
NFE2L2,0.0007663091662097206,0.0018303471315268072,0.0006089974874506495,0.001273598875051827
NFE4,0.0002501786382682838,0.00027732206225008945,0.0001974822604381324,0.00025048730270955206
NFKB1,0.0019678390939116474,0.0005456614325881135,0.0011760172397611262,0.002244440962611835
NFYA,0.006626588969225362,0.012365568896352095,0.009567410447742262,0.005404381531743593
NFYB,0.003144031639844058,0.006938340643446578,0.00806974153247254,0.0038150423273816208
NFYC,0.006744491216555234,0.005653115850676514,0.009572212548762738,0.006027577571277976
NR2C2,0.0008493342009584009,0.0008855073794268561,0.0016716523904499675,0.0010007860174138712
NR3C1,0.0010156301520867362,0.0009595818334579212,0.0009215031616484672,0.0021600310827562296
NR4A1,0.0013679837014361803,0.0006675914723977714,0.001101549044266339,0.0011948921765755828
NR4A2,0.001447732253520618,0.0006098579867565743,0.0012357041014827471,0.002936916267435696
NRF1,0.005472739102342384,0.010716879026086977,0.004034490681400325,0.004910247974263886
PATZ1,0.0008303381268752074,0.0003221017171241208,0.0008632791565476571,0.0009166948918617322
PAX5,0.0013008396994287437,0.00217427655052241,0.0018859096374989367,0.0003365904148522056
PAX6,0.0007795271936552519,0.0005687707761781618,0.0007298006290018932,0.00022669570631316712
PBX2,0.0007552610192049266,0.0006708361632861074,0.00038322294970708366,0.0004050140715734179
PBX3,0.003607008493834096,0.0006687182733933663,0.00488127984541754,0.0040961687585701215
POU2F1,0.0003444152981171843,0.0005899910718216122,0.000991549164048632,0.000798822977603656
PRDM1,0.0011227401432755022,0.0008443434947658284,0.0028384273567491117,0.0014900324684154558
PRDM16,0.0004757523569340902,0.0002525170065927461,0.00026487433358761626,0.0003884524917564502
PRDM9,0.0004763845426830416,0.0007015749029909801,0.0004373475794569034,0.0004659916638796233
PURA,0.001204664716827261,0.0003917468215763413,0.0009391243225325828,0.0007305007163494584
RARA,0.0005111945774228972,0.00040539836779345694,0.0006288325998222159,0.0003133941668942214
RBAK,0.0007549363288669264,0.0003655567939557825,0.0003252447617011486,0.0001821843316082261
RBPJ,0.002106991856820433,0.0004466706841596616,0.0017542879130204012,0.0019262465339184613
REL,0.0020359754174247248,0.0011120123042254971,0.0012056049482418538,0.00263413070474216
RELA,0.0011905641278312142,0.0007746067850971621,0.0009711678748625056,0.002637101003076943
REST,0.0026468889261242177,0.0029284313994681374,0.0024658414013630195,0.0032936905204970905
RFX3,0.0013900500218237658,0.0015280609510252485,0.0006058750127903652,0.0011989641733220298
RFX5,0.0009433217634004668,0.002009559952253214,0.0034329270399430286,0.0015207597633172035
RORA,0.00027648826635266727,0.00044009827507143046,0.00023459171418579,0.0004382065241413995
RUNX1,0.0010187598147468576,0.0013058231761191924,0.0024050107359919505,0.0012160653910099496
RUNX3,0.0004021253033115949,0.0017241815942279405,0.000677434467051455,0.00032559900897522224
SALL2,0.0006123107262304294,0.0003332792735488135,0.00030515382285978884,0.0009835092014111924
SATB1,0.003750144968815017,0.0014408429567831665,0.002538889489876656,0.004343148844485672
SETDB1,0.002896804570843812,0.001582024265484333,0.0028296354664088287,0.002010818187342308
