Prot_1,Prot_2
ACTN3,ACTB
ACTN3,MYOZ1
ACTN3,DDAH2
ACTN3,KIF20A
HHEX,ABI1
C22ORF15,ABI1
ANKS1B,NCK2
ANKS1B,CASS4
ANKS1B,EGFR
ANKS1B,ANLN
ANKS1B,RIN1
ANKS1B,HSF2BP
ANKS1B,VIRMA
ANKS1B,RHOA
LMNA,BNIP3L
ADAM12,LCE5A
ADAM12,KRTAP5-6
ADAM12,KRTAP6-2
ADAM12,CYSRT1
ADAM12,SPRY1
ADAM12,SPRY4
ADAM12,KRTAP9-8
ADAM12,ADAMTSL4
ADAM12,KRTAP9-2
ADAM12,KRT83
ADAM12,OTX1
ADAM12,FHL5
ADAM12,NOTCH2NLC
ADAM12,KRTAP1-1
ADAM12,NOTCH2NLA
ADAM12,KRTAP3-2
ADAM12,KRTAP5-9
ADAM12,KRTAP3-1
ADAM12,GUCD1
ADAM12,SLC15A2
ADAM12,KRTAP4-12
ADAM12,KRTAP12-2
ADAM12,KRTAP10-8
ADAM12,MAPKBP1
ADAM12,ESM1
ADAM17,DLG1
ADAM17,MAD2L1
ADAM17,TIMP3
ADAM17,BRPF3
ADAM17,FBXO6
ADAM17,UBC
ADAM17,CD9
CPNE6,AGR2
PYCARD,CASP8
DNMT3B,CBX3
NDEL1,CLVS2
SHANK1,ADGRL1
KLC4,CDR2
ZDHHC17,CCDC7
NAPG,AKAP11
FAM74A4|FAM74A6,CEP44
YAF2,CBX3
LARP7,ACTR1A
DDX42,AKAP13
PTEN,CHGB
CDKN1B,CDC34
CDKN1A,CHGB
CDKN1A,ABR
UBE2D2,AMFR
UBE2D3,AMFR
UBE2D1,AMFR
SAP130,ARID4B
APOE,BCL2
MLKL,CASP8
CCDC57,ABI1
PAXIP1,CLU
CABP5,ANKRD55
CABP4,BCL6
MBOAT7,CD200R1
MBOAT7,ACAP2
HMGXB4,ARID4B
CDC34,FBXW11
CDC34,SDCBP
CDC34,MEOX1
CDC34,MEOX2
CDC34,EIF3K
CDC34,TIMM13
CDC34,CUL1
CDC34,CUL2
CDC34,SIAH1
CDC34,RAD21
CDC34,PPARG
CDC34,UBA1
CDC34,ZNRF1
CDC34,BTRC
CDC34,UBC
CDC34,RBX1
CDC34,CSNK2B
CDC37,CDKL2
CDC37,CFLAR
CDC37,CCDC91
S100A8,CHGB
S100A7,CA8
S100A7,CLVS2
RB1CC1,CCPG1
DYNC1I1,CADM4
CBWD3,AZU1
E2F6,CBX3
RPGR,BIRC6
COX6A1,CHCHD10
GNG11,CEP44
DMC1,BRCA2
HPCAL1,C1QTNF2
TRIP6,ANKRD55
TRIP6,CEP44
CCND3,CLU
ATP7B,CLU
RUVBL1,CCDC87
RUVBL2,CCDC87
RUVBL2,AGR2
COX7A2,CHCHD10
MGA,CBX3
TBP,AHR
VEGFD,BIRC6
NSD1,AGR2
NSD3,CBX3
NSD3,CASP8
NSD2,CLU
NUDCD3,CFLAR
NUDCD3,BBS1
B7Z3D6,BCL2
GMNN,CASP8
CFAP161,BCL6
TIMMDC1,ANKRD46
TIMMDC1,AGR3
CCDC190,APP
KRTAP26-1,CCNJL
ZW10,BSG
STX2,ANKRD46
STX4,ANKRD46
RPS3A,CHN1
RPS3A,ASF1B
ECE2,CASP10
CLIC3,ANKRD55
CLIC3,AGR2
CASQ2,ACTA2
AURKB,ABR
AURKB,BSG
AP1B1,AGR3
ERLIN2,AMFR
TXLNG,CEP44
TXLNB,CDR2
TXLNA,CDR2
TXLNA,CEP44
BMF,BCL2
AHCY,AGR2
ABI2,ANKRD55
ABI2,CEP44
ABI2,ABI1
ABI3,CEP44
TESC,CCDC91
KRT31,ATXN7L1
KRT31,AGR2
KRT31,ARID3A
KRT31,BHLHA9
TMEM140,CLEC17A
CHN1,FARP2
CHN1,NCK1
