Prot_1,Prot_2
CUX1,H4C1|H4C2|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9|H4C11|H4C12|H4C13|H4C14|H4C15|H4-16
KLHL38,IKZF3
KLHL38,PAX5
KLHL38,ZNF341
DNAJC8,EGR1
DNAJC9,FOXO1
DNAJC9,JUN
DNAJC7,JUN
MAP3K3,UBA52
MAP3K3,GTF2I
SLC18A1,ANKRD46
RRP15,JUN
RALBP1,JUN
RALBP1,HMGA1
PPP1R8,GBP2
PPP1R8,GBP7
ZNF835,ZNF121
ZNF837,ZNF121
ZNF837,PPARD
CUEDC1,NFKBIA
CUEDC1,UBE2D2
CUEDC1,NTAQ1
CUEDC1,FAM189A2
CUEDC1,SMURF2
CUEDC1,SRPRB
CUEDC1,LRRK2
CUEDC1,NEDD4
CUEDC1,B7Z2P9
CUEDC1,TMEM51
CUEDC1,TMEM92
CUEDC1,UBE2E2
CUEDC1,OSTF1
CUEDC1,DUSP19
CUEDC1,ARRDC1
CUEDC1,SMARCD1
CUEDC1,NCK2
CUEDC1,ESR1
CUEDC1,ABI2
CUEDC1,NEDD4L
CUEDC1,UBC
CUEDC1,LDLRAD4
LRIF1,KLF3
LRIF1,FOSL2
LRIF1,TGIF1
LRIF1,ATF3
ACAT2,ZNF76
IKBKB,FOXO3
IKBKB,RELA
MECP2,CREB1
MECP2,YBX1
MECP2,JUN
MECP2,YY1
PLAAT5,ZNF783
PLAAT2,NCALD
BEGAIN,RBL1
IL2RB,IL2
IL2RG,IL2
ATF7IP,CREB1
ATF7IP,SREBF2
SPAG16,VEZF1
SRBD1,JUN
CMTR1,LDLRAD4
ITCH,JUN
ITCH,LDLRAD4
CHMP4B,ZNF281
CHMP4B,CTCF
CHMP4B,GTF2I
CHMP4B,POLI
CHMP4B,KIF18A
CHMP4B,SPTB
CHMP4B,TJP2
CHMP4B,STAT3
CHMP4B,MYL12B
CHMP4B,MAPKAPK2
CHMP4B,STAMBP
CHMP4B,HMGA1
CHMP4C,YBX1
CHMP4C,GTF2I
CHMP4C,SPTB
CHMP4C,MYL12B
CHMP4C,SAMHD1
CHMP4C,MAPKAPK2
BAX,EGR1
BAX,YY1
RBL1,HDAC1
RBL1,AOX1
RBL1,DYNLL1
RBL1,MARF1
RBL1,CD2BP2
RBL1,EPHA2
RBL1,HELZ
RBL1,FOXO3
RBL1,CD320
RBL1,YWHAZ
RBL1,LAMB2
RBL1,CCNA2
RBL1,FOXK1
RBL1,EPHB2
